"AE Preferred Term","Darb n","Darb %","Placebo n","Placebo %"
"NAUSEA",112,46.9,101,42.1
"NEUTROPENIA",90,37.7,80,33.3
"VOMITING",71,29.7,77,32.1
"ALOPECIA",57,23.8,57,23.8
"THROMBOCYTOPENIA",49,20.5,35,14.6
"ANOREXIA",41,17.2,49,20.4
"CONSTIPATION",38,15.9,38,15.8
"FATIGUE",35,14.6,37,15.4
"DIARRHOEA",31,13,38,15.8
"INSOMNIA",30,12.6,30,12.5
"ANAEMIA",29,12.1,73,30.4
"COUGH",29,12.1,38,15.8
"DYSPNOEA",29,12.1,33,13.8
"ASTHENIA",27,11.3,31,12.9
"LEUKOPENIA",27,11.3,27,11.2
"PYREXIA",27,11.3,33,13.8
"HEADACHE",21,8.8,20,8.3
"SMALL CELL LUNG CANCER STAGE UNSPECIFIED",21,8.8,19,7.9
"NON-CARDIAC CHEST PAIN",20,8.4,33,13.8
"ABDOMINAL PAIN",16,6.7,7,2.9
"BACK PAIN",16,6.7,14,5.8
"HYPERTENSION",13,5.4,12,5
"CANCER PAIN",12,5,8,3.3
"HYPOKALAEMIA",12,5,10,4.2
"PARAESTHESIA",12,5,10,4.2
"FEBRILE NEUTROPENIA",8,3.3,12,5
"HAEMOPTYSIS",8,3.3,12,5
"OEDEMA PERIPHERAL",8,3.3,13,5.4
