"Body System","Darb n","Darb %","Placebo n","Placebo %"
"GASTROINTESTINAL DISORDERS",167,69.9,156,65
"BLOOD AND LYMPHATIC SYSTEM DISORDERS",140,58.6,136,56.7
"GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS",112,46.9,124,51.7
"SKIN AND SUBCUTANEOUS TISSUE DISORDERS",73,30.5,68,28.3
"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",69,28.9,88,36.7
"METABOLISM AND NUTRITION DISORDERS",67,28,70,29.2
"INFECTIONS AND INFESTATIONS",66,27.6,68,28.3
"NERVOUS SYSTEM DISORDERS",65,27.2,65,27.1
"MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS",56,23.4,55,22.9
"PSYCHIATRIC DISORDERS",56,23.4,52,21.7
"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",46,19.2,39,16.2
"VASCULAR DISORDERS",40,16.7,28,11.7
"CARDIAC DISORDERS",26,10.9,22,9.2
"INVESTIGATIONS",20,8.4,24,10
"RENAL AND URINARY DISORDERS",14,5.9,14,5.8
"EAR AND LABYRINTH DISORDERS",12,5,16,6.7
"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",12,5,11,4.6
